cik,name,ticker,sic,industry
1123494,HARVARD BIOSCIENCE INC,['HBIO'],3826,"""LABORATORY ANALYTICAL INSTRUMENTS"""
1123596,"BAB, INC.",['BABB'],5812,"""RETAIL-EATING PLACES"""
1123735,COMMUNITY FINANCIAL SHARES INC,[],6035,"""SAVINGS INSTITUTION, FEDERALLY CHARTERED"""
1123852,NORTHERN STATES POWER CO,[],4931,"""ELECTRIC & OTHER SERVICES COMBINED"""
1123979,SENOMYX INC,[],8731,"""SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH"""
1124024,FAR EAST ENERGY CORP,[],1311,"""CRUDE PETROLEUM & NATURAL GAS"""
1124105,"GYRE THERAPEUTICS, INC.",['GYRE'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1124127,MINT LEASING INC,[],6172,"""FINANCE LESSORS"""
1124140,EXACT SCIENCES CORP,['EXAS'],8071,"""SERVICES-MEDICAL LABORATORIES"""
1124198,FLUOR CORP,['FLR'],1600,"""HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS"""
1124524,"Cryoport, Inc.",['CYRX'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1124608,RESPONSE GENETICS INC,[],2835,"""IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES"""
1124610,VMWARE LLC,[],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1124796,"NLIGHT, INC.",['LASR'],3674,"""SEMICONDUCTORS & RELATED DEVICES"""
1124804,Veradigm Inc.,['MDRX'],7373,"""SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN"""
1124827,UTi WORLDWIDE INC,[],4731,"""ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO"""
1124941,BEACON ROOFING SUPPLY INC,['BECN'],5030,"""WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS"""
1125259,CARNIVAL PLC,"['CUK', 'CUKPF']",4400,"""WATER TRANSPORTATION"""
1125264,ATEL CAPITAL EQUIPMENT FUND IX LLC,[],7359,"""SERVICES-EQUIPMENT RENTAL & LEASING, NEC"""
1125280,"Intellicell Biosciences, Inc.",[],2836,"""BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"""
1125345,MACROGENICS INC,['MGNX'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1125376,"ENSIGN GROUP, INC",['ENSG'],8051,"""SERVICES-SKILLED NURSING CARE FACILITIES"""
1125699,DAIS Corp,['DLYT'],3990,"""MISCELLANEOUS MANUFACTURING INDUSTRIES"""
1125903,SHELRON GROUP INC,[],3576,"""COMPUTER COMMUNICATIONS EQUIPMENT"""
1125914,OPENTABLE INC,[],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1125920,SHUTTERFLY INC,[],7384,"""SERVICES-PHOTOFINISHING LABORATORIES"""
1126003,ALTERNET SYSTEMS INC,[],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1126115,"LZG INTERNATIONAL, INC.",[],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1126162,Purthanol Resources Ltd,[],6770,"""BLANK CHECKS"""
1126216,"NTS, INC.",[],4899,"""COMMUNICATIONS SERVICES, NEC"""
1126234,"LUMOS PHARMA, INC.",['LUMO'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1126294,"GenOn Energy, Inc.",[],4911,"""ELECTRIC SERVICES"""
